algorithm,instance,seed,log_path,final_best_from_log,final_best_contributor_destroy,final_best_contributor_repair,n_iterations_in_log
ALNS-B,Example10,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/10_Example10_seed0.log,119.0,destroy_max_border_off,repair_chuffed_fast,22
ALNS-B,Example10,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/10_Example10_seed1.log,93.0,destroy_max_border_off,repair_chuffed_fast,26
ALNS-B,Example10,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/10_Example10_seed2.log,27.0,destroy_all_forbidden_sequences,repair_gecode_fast,21
ALNS-B,Example11,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/11_Example11_seed0.log,54.0,destroy_max_border_off,repair_gecode_fast,29
ALNS-B,Example11,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/11_Example11_seed1.log,54.0,destroy_max_border_off,repair_gecode_fast,19
ALNS-B,Example11,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/11_Example11_seed2.log,34.0,destroy_max_border_shift_2,repair_gecode_fast,28
ALNS-B,Example12,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/12_Example12_seed0.log,24.0,destroy_random_window_20pct,repair_gecode_fast,33
ALNS-B,Example12,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/12_Example12_seed1.log,8.0,destroy_worst_days_10pct,repair_gecode_fast,35
ALNS-B,Example12,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/12_Example12_seed2.log,44.0,destroy_random_window_20pct,repair_gecode_fast,23
ALNS-B,Example13,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/13_Example13_seed0.log,27.0,destroy_max_border_off,repair_chuffed_fast,27
ALNS-B,Example13,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/13_Example13_seed1.log,39.0,destroy_max_border_off,repair_chuffed_long,25
ALNS-B,Example13,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/13_Example13_seed2.log,23.0,destroy_max_border_off,repair_gecode_fast,21
ALNS-B,Example14,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/14_Example14_seed0.log,7.0,destroy_exploration,repair_exploration,28
ALNS-B,Example14,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/14_Example14_seed1.log,5.0,destroy_exploration,repair_exploration,41
ALNS-B,Example14,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/14_Example14_seed2.log,2.0,destroy_worst_workers_10pct,repair_gecode_fast,45
